channel,snr_db,semantic_psnr,semantic_ssim,semantic_meaning_acc,classical_psnr,classical_ssim,classical_meaning_acc,original_meaning_acc
awgn,-5.0,19.299370484207348,0.6046314649283886,0.43359375,9.945479850738177,0.03522659162990749,0.09765625,0.912109375
awgn,-2.0,21.006910611083573,0.6961953714489937,0.533203125,10.218132018033756,0.050797357922419906,0.1123046875,0.912109375
awgn,0.0,22.027224509982574,0.7445467635989189,0.6025390625,10.572384631518013,0.07179114827886224,0.0927734375,0.912109375
awgn,2.0,22.93490552101607,0.780763428658247,0.6513671875,11.180026566321764,0.10607909224927425,0.0966796875,0.912109375
awgn,5.0,23.969028700525996,0.8190901018679142,0.68359375,12.603695274343668,0.18824446387588978,0.12109375,0.912109375
awgn,8.0,24.710688312589348,0.8422771207988262,0.697265625,15.13288783173104,0.3262454215437174,0.146484375,0.912109375
awgn,10.0,25.023738579498847,0.8513213470578194,0.703125,17.329779279298773,0.42613070271909237,0.1826171875,0.912109375
awgn,12.0,25.25013136627397,0.8575257733464241,0.7060546875,18.994829438553552,0.48707092367112637,0.2275390625,0.912109375
awgn,15.0,25.448221157977237,0.862855538725853,0.7109375,19.699909435090213,0.5090252663940191,0.2265625,0.912109375
awgn,18.0,25.552219997986366,0.865496750921011,0.7138671875,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
awgn,20.0,25.59608756333555,0.8666039109230042,0.716796875,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
rayleigh_block,-5.0,17.531255624960963,0.5105006154626608,0.3466796875,9.87481262720452,0.03865915455389768,0.1025390625,0.912109375
rayleigh_block,-2.0,19.23872482654601,0.5963299237191677,0.458984375,10.241737089941639,0.05587486759759486,0.1044921875,0.912109375
rayleigh_block,0.0,20.440017513296024,0.6587314195930958,0.53515625,10.641492813073878,0.07750724558718503,0.1044921875,0.912109375
rayleigh_block,2.0,21.23372929564821,0.6942835673689842,0.564453125,11.031459849711004,0.09659020230174065,0.107421875,0.912109375
rayleigh_block,5.0,22.61269165480461,0.7566126473248005,0.6220703125,12.34792624343385,0.1710453424602747,0.1142578125,0.912109375
rayleigh_block,8.0,23.641127484709216,0.7962719202041626,0.6474609375,14.176540122407001,0.26440432853996754,0.134765625,0.912109375
rayleigh_block,10.0,24.15192035228891,0.8177285641431808,0.671875,15.52557133098518,0.3231918178498745,0.16015625,0.912109375
rayleigh_block,12.0,24.428887712099765,0.8268987983465195,0.671875,16.614688075798444,0.3753710426390171,0.18359375,0.912109375
rayleigh_block,15.0,24.971139430890588,0.845486406236887,0.71875,17.97691860609237,0.43599726632237434,0.197265625,0.912109375
rayleigh_block,18.0,25.208723841686062,0.8537059500813484,0.712890625,18.57387611785319,0.4615214541554451,0.2021484375,0.912109375
rayleigh_block,20.0,25.33981007389754,0.8584773801267147,0.703125,19.048792540316533,0.48055541329085827,0.2138671875,0.912109375
rayleigh_fast,-5.0,13.289294529736527,0.2884944323450327,0.169921875,9.862762387870845,0.034375422867015004,0.1005859375,0.912109375
rayleigh_fast,-2.0,15.192894965990892,0.385368375107646,0.2412109375,10.142523821984643,0.0469941736664623,0.1005859375,0.912109375
rayleigh_fast,0.0,16.543792673856032,0.4552652183920145,0.291015625,10.416635779427562,0.06058030598796904,0.10546875,0.912109375
rayleigh_fast,2.0,18.077387724028554,0.5382695496082306,0.365234375,10.849953912293685,0.08496696688234806,0.1015625,0.912109375
rayleigh_fast,5.0,19.856070995473296,0.6324934288859367,0.486328125,11.816059100264722,0.14239026699215174,0.1123046875,0.912109375
rayleigh_fast,8.0,21.427691360497,0.7123687230050564,0.5546875,13.364768506231744,0.2327513676136732,0.126953125,0.912109375
rayleigh_fast,10.0,22.44403821088354,0.7574353478848934,0.6162109375,14.641753797109697,0.30327234230935574,0.13671875,0.912109375
rayleigh_fast,12.0,23.191911166418464,0.7876631282269955,0.6533203125,16.03142724432749,0.370339285582304,0.1474609375,0.912109375
rayleigh_fast,15.0,24.160749198073134,0.822237990796566,0.6865234375,17.78544913782613,0.44554269686341286,0.2021484375,0.912109375
rayleigh_fast,18.0,24.761945755110233,0.8422360569238663,0.705078125,18.914282721230464,0.4855381343513727,0.2080078125,0.912109375
rayleigh_fast,20.0,25.032965996254354,0.8500425182282925,0.7099609375,19.29933650455196,0.4968025218695402,0.2236328125,0.912109375
cdl_approx,-5.0,15.429337300135801,0.4136024136096239,0.1806640625,8.71637743213843,0.02840401546563953,0.095703125,0.912109375
cdl_approx,-2.0,17.1743164670656,0.5289294570684433,0.2294921875,9.12868310607928,0.035949165700003505,0.091796875,0.912109375
cdl_approx,0.0,18.560969182811796,0.5994699075818062,0.3037109375,9.493778383033906,0.04571191524155438,0.10546875,0.912109375
cdl_approx,2.0,19.85450788244187,0.6591003015637398,0.388671875,9.919548242307046,0.06202950095757842,0.1044921875,0.912109375
cdl_approx,5.0,21.693833396960702,0.7328174747526646,0.4970703125,10.76891840646584,0.0973269329406321,0.1005859375,0.912109375
cdl_approx,8.0,23.17612345075397,0.7901354059576988,0.611328125,12.131696010227177,0.16969852056354284,0.1083984375,0.912109375
cdl_approx,10.0,23.879815914698394,0.8144655041396618,0.6484375,13.353129676235232,0.2353371148929,0.1181640625,0.912109375
cdl_approx,12.0,24.381183885139965,0.8316589407622814,0.677734375,14.831255563321717,0.31462554447352886,0.14453125,0.912109375
cdl_approx,15.0,24.93499784935874,0.8491137623786926,0.71484375,17.044218324446085,0.41583817079663277,0.1884765625,0.912109375
cdl_approx,18.0,25.230993009891485,0.8573494106531143,0.7177734375,18.462393384968703,0.47158859856426716,0.2119140625,0.912109375
cdl_approx,20.0,25.331045103457186,0.8602700680494308,0.720703125,18.997519112524138,0.4908784497529268,0.224609375,0.912109375
